stream_row_id,mission_id,timestamp_s,degradation,fault_type
0,1,0,0.0,normal
1,1,1,0.0,normal
2,1,2,0.0,normal
3,1,3,0.0,normal
4,1,4,0.0,normal
5,1,5,0.0,normal
6,1,6,0.0,normal
7,1,7,0.0,normal
8,1,8,0.0,normal
9,1,9,0.0,normal
10,1,10,0.0,normal
11,1,11,0.0,normal
12,1,12,0.0,normal
13,1,13,0.0,normal
14,1,14,0.0,normal
15,1,15,0.0,normal
16,1,16,0.0,normal
17,1,17,0.0,normal
18,1,18,0.0,normal
19,1,19,0.0,normal
20,1,20,0.0,normal
21,1,21,0.0,normal
22,1,22,0.0,normal
23,1,23,0.0,normal
24,1,24,0.0,normal
25,1,25,0.0,normal
26,1,26,0.0,normal
27,1,27,0.0,normal
28,1,28,0.0,normal
29,1,29,0.0,normal
30,1,30,0.0,normal
31,1,31,0.0,normal
32,1,32,0.0,normal
33,1,33,0.0,normal
34,1,34,0.0,normal
35,1,35,0.0,normal
36,1,36,0.0,normal
37,1,37,0.0,normal
38,1,38,0.0,normal
39,1,39,0.0,normal
40,1,40,0.0,normal
41,1,41,0.0,normal
42,1,42,0.0,normal
43,1,43,0.0,normal
44,1,44,0.0,normal
45,1,45,0.0,normal
46,1,46,0.0,normal
47,1,47,0.0,normal
48,1,48,0.0,normal
49,1,49,0.0,normal
50,1,50,0.0,normal
51,1,51,0.0,normal
52,1,52,0.0,normal
53,1,53,0.0,normal
54,1,54,0.0,normal
55,1,55,0.0,normal
56,1,56,0.0,normal
57,1,57,0.0,normal
58,1,58,0.0,normal
59,1,59,0.0,normal
60,1,60,0.0,normal
61,1,61,0.0,normal
62,1,62,0.0,normal
63,1,63,0.0,normal
64,1,64,0.0,normal
65,1,65,0.0,normal
66,1,66,0.0,normal
67,1,67,0.0,normal
68,1,68,0.0,normal
69,1,69,0.0,normal
70,1,70,0.0,normal
71,1,71,0.0,normal
72,1,72,0.0,normal
73,1,73,0.0,normal
74,1,74,0.0,normal
75,1,75,0.0,normal
76,1,76,0.0,normal
77,1,77,0.0,normal
78,1,78,0.0,normal
79,1,79,0.0,normal
80,1,80,0.0,normal
81,1,81,0.0,normal
82,1,82,0.0,normal
83,1,83,0.0,normal
84,1,84,0.0,normal
85,1,85,0.0,normal
86,1,86,0.0,normal
87,1,87,0.0,normal
88,1,88,0.0,normal
89,1,89,0.0,normal
90,1,90,0.0,normal
91,1,91,0.0,normal
92,1,92,0.0,normal
93,1,93,0.0,normal
94,1,94,0.0,normal
95,1,95,0.0,normal
96,1,96,0.0,normal
97,1,97,0.0,normal
98,1,98,0.0,normal
99,1,99,0.0,normal
100,1,100,0.0,normal
101,1,101,0.0,normal
102,1,102,0.0,normal
103,1,103,0.0,normal
104,1,104,0.0,normal
105,1,105,0.0,normal
106,1,106,0.0,normal
107,1,107,0.0,normal
108,1,108,0.0,normal
109,1,109,0.0,normal
110,1,110,0.0,normal
111,1,111,0.0,normal
112,1,112,0.0,normal
113,1,113,0.0,normal
114,1,114,0.0,normal
115,1,115,0.0,normal
116,1,116,0.0,normal
117,1,117,0.0,normal
118,1,118,0.0,normal
119,1,119,0.0,normal
120,1,120,0.0,normal
121,1,121,0.0,normal
122,1,122,0.0,normal
123,1,123,0.0,normal
124,1,124,0.0,normal
125,1,125,0.0,normal
126,1,126,0.0,normal
127,1,127,0.0,normal
128,1,128,0.0,normal
129,1,129,0.0,normal
130,1,130,0.0,normal
131,1,131,0.0,normal
132,1,132,0.0,normal
133,1,133,0.0,normal
134,1,134,0.0,normal
135,1,135,0.0,normal
136,1,136,0.0,normal
137,1,137,0.0,normal
138,1,138,0.0,normal
139,1,139,0.0,normal
140,1,140,0.0,normal
141,1,141,0.0,normal
142,1,142,0.0,normal
143,1,143,0.0,normal
144,1,144,0.0,normal
145,1,145,0.0,normal
146,1,146,0.0,normal
147,1,147,0.0,normal
148,1,148,0.0,normal
149,1,149,0.0,normal
150,1,150,0.0,normal
151,1,151,0.0,normal
152,1,152,0.0,normal
153,1,153,0.0,normal
154,1,154,0.0,normal
155,1,155,0.0,normal
156,1,156,0.0,normal
157,1,157,0.0,normal
158,1,158,0.0,normal
159,1,159,0.0,normal
160,1,160,0.0,normal
161,1,161,0.0,normal
162,1,162,0.0,normal
163,1,163,0.0,normal
164,1,164,0.0,normal
165,1,165,0.0,normal
166,1,166,0.0,normal
167,1,167,0.0,normal
168,1,168,0.0,normal
169,1,169,0.0,normal
170,1,170,0.0,normal
171,1,171,0.0,normal
172,1,172,0.0,normal
173,1,173,0.0,normal
174,1,174,0.0,normal
175,1,175,0.0,normal
176,1,176,0.0,normal
177,1,177,0.0,normal
178,1,178,0.0,normal
179,1,179,0.0,normal
180,1,180,0.0,normal
181,1,181,0.0,normal
182,1,182,0.0,normal
183,1,183,0.0,normal
184,1,184,0.0,normal
185,1,185,0.0,normal
186,1,186,0.0,normal
187,1,187,0.0,normal
188,1,188,0.0,normal
189,1,189,0.0,normal
190,1,190,0.0,normal
191,1,191,0.0,normal
192,1,192,0.0,normal
193,1,193,0.0,normal
194,1,194,0.0,normal
195,1,195,0.0,normal
196,1,196,0.0,normal
197,1,197,0.0,normal
198,1,198,0.0,normal
199,1,199,0.0,normal
200,1,200,0.0,normal
201,1,201,0.0,normal
202,1,202,0.0,normal
203,1,203,0.0,normal
204,1,204,0.0,normal
205,1,205,0.0,normal
206,1,206,0.0,normal
207,1,207,0.0,normal
208,1,208,0.0,normal
209,1,209,0.0,normal
210,1,210,0.0,normal
211,1,211,0.0,normal
212,1,212,0.0,normal
213,1,213,0.0,normal
214,1,214,0.0,normal
215,1,215,0.0,normal
216,1,216,0.0,normal
217,1,217,0.0,normal
218,1,218,0.0,normal
219,1,219,0.0,normal
220,1,220,0.0,normal
221,1,221,0.0,normal
222,1,222,0.0,normal
223,1,223,0.0,normal
224,1,224,0.0,normal
225,1,225,0.0,normal
226,1,226,0.0,normal
227,1,227,0.0,normal
228,1,228,0.0,normal
229,1,229,0.0,normal
230,1,230,0.0,normal
231,1,231,0.0,normal
232,1,232,0.0,normal
233,1,233,0.0,normal
234,1,234,0.0,normal
235,1,235,0.0,normal
236,1,236,0.0,normal
237,1,237,0.0,normal
238,1,238,0.0,normal
239,1,239,0.0,normal
240,1,240,0.0,normal
241,1,241,0.0,normal
242,1,242,0.0,normal
243,1,243,0.0,normal
244,1,244,0.0,normal
245,1,245,0.0,normal
246,1,246,0.0,normal
247,1,247,0.0,normal
248,1,248,0.0,normal
249,1,249,0.0,normal
250,1,250,0.0,normal
251,1,251,0.0,normal
252,1,252,0.0,normal
253,1,253,0.0,normal
254,1,254,0.0,normal
255,1,255,0.0,normal
256,1,256,0.0,normal
257,1,257,0.0,normal
258,1,258,0.0,normal
259,1,259,0.0,normal
260,1,260,0.0,normal
261,1,261,0.0,normal
262,1,262,0.0,normal
263,1,263,0.0,normal
264,1,264,0.0,normal
265,1,265,0.0,normal
266,1,266,0.0,normal
267,1,267,0.0,normal
268,1,268,0.0,normal
269,1,269,0.0,normal
270,1,270,0.0,normal
271,1,271,0.0,normal
272,1,272,0.0,normal
273,1,273,0.0,normal
274,1,274,0.0,normal
275,1,275,0.0,normal
276,1,276,0.0,normal
277,1,277,0.0,normal
278,1,278,0.0,normal
279,1,279,0.0,normal
280,1,280,0.0,normal
281,1,281,0.0,normal
282,1,282,0.0,normal
283,1,283,0.0,normal
284,1,284,0.0,normal
285,1,285,0.0,normal
286,1,286,0.0,normal
287,1,287,0.0,normal
288,1,288,0.0,normal
289,1,289,0.0,normal
290,1,290,0.0,normal
291,1,291,0.0,normal
292,1,292,0.0,normal
293,1,293,0.0,normal
294,1,294,0.0,normal
295,1,295,0.0,normal
296,1,296,0.0,normal
297,1,297,0.0,normal
298,1,298,0.0,normal
299,1,299,0.0,normal
300,1,300,0.0,normal
301,1,301,0.0,normal
302,1,302,0.0,normal
303,1,303,0.0,normal
304,1,304,0.0,normal
305,1,305,0.0,normal
306,1,306,0.0,normal
307,1,307,0.0,normal
308,1,308,0.0,normal
309,1,309,0.0,normal
310,1,310,0.0,normal
311,1,311,0.0,normal
312,1,312,0.0,normal
313,1,313,0.0,normal
314,1,314,0.0,normal
315,1,315,0.0,normal
316,1,316,0.0,normal
317,1,317,0.0,normal
318,1,318,0.0,normal
319,1,319,0.0,normal
320,1,320,0.0,normal
321,1,321,0.0,normal
322,1,322,0.0,normal
323,1,323,0.0,normal
324,1,324,0.0,normal
325,1,325,0.0,normal
326,1,326,0.0,normal
327,1,327,0.0,normal
328,1,328,0.0,normal
329,1,329,0.0,normal
330,1,330,0.0,normal
331,1,331,0.0,normal
332,1,332,0.0,normal
333,1,333,0.0,normal
334,1,334,0.0,normal
335,1,335,0.0,normal
336,1,336,0.0,normal
337,1,337,0.0,normal
338,1,338,0.0,normal
339,1,339,0.0,normal
340,1,340,0.0,normal
341,1,341,0.0,normal
342,1,342,0.0,normal
343,1,343,0.0,normal
344,1,344,0.0,normal
345,1,345,0.0,normal
346,1,346,0.0,normal
347,1,347,0.0,normal
348,1,348,0.0,normal
349,1,349,0.0,normal
350,1,350,0.0,normal
351,1,351,0.0,normal
352,1,352,0.0,normal
353,1,353,0.0,normal
354,1,354,0.0,normal
355,1,355,0.0,normal
356,1,356,0.0,normal
357,1,357,0.0,normal
358,1,358,0.0,normal
359,1,359,0.0,normal
360,1,360,0.0,normal
361,1,361,0.0,normal
362,1,362,0.0,normal
363,1,363,0.0,normal
364,1,364,0.0,normal
365,1,365,0.0,normal
366,1,366,0.0,normal
367,1,367,0.0,normal
368,1,368,0.0,normal
369,1,369,0.0,normal
370,1,370,0.0,normal
371,1,371,0.0,normal
372,1,372,0.0,normal
373,1,373,0.0,normal
374,1,374,0.0,normal
375,1,375,0.0,normal
376,1,376,0.0,normal
377,1,377,0.0,normal
378,1,378,0.0,normal
379,1,379,0.0,normal
380,1,380,0.0,normal
381,1,381,0.0,normal
382,1,382,0.0,normal
383,1,383,0.0,normal
384,1,384,0.0,normal
385,1,385,0.0,normal
386,1,386,0.0,normal
387,1,387,0.0,normal
388,1,388,0.0,normal
389,1,389,0.0,normal
390,1,390,0.0,normal
391,1,391,0.0,normal
392,1,392,0.0,normal
393,1,393,0.0,normal
394,1,394,0.0,normal
395,1,395,0.0,normal
396,1,396,0.0,normal
397,1,397,0.0,normal
398,1,398,0.0,normal
399,1,399,0.0,normal
400,1,400,0.0,normal
401,1,401,0.0,normal
402,1,402,0.0,normal
403,1,403,0.0,normal
404,1,404,0.0,normal
405,1,405,0.0,normal
406,1,406,0.0,normal
407,1,407,0.0,normal
408,1,408,0.0,normal
409,1,409,0.0,normal
410,1,410,0.0,normal
411,1,411,0.0,normal
412,1,412,0.0,normal
413,1,413,0.0,normal
414,1,414,0.0,normal
415,1,415,0.0,normal
416,1,416,0.0,normal
417,1,417,0.0,normal
418,1,418,0.0,normal
419,1,419,0.0,normal
420,1,420,0.0,normal
421,1,421,0.0,normal
422,1,422,0.0,normal
423,1,423,0.0,normal
424,1,424,0.0,normal
425,1,425,0.0,normal
426,1,426,0.0,normal
427,1,427,0.0,normal
428,1,428,0.0,normal
