timestamp_s,engine_id,altitude_m,ambient_temp_C,pressure_kPa,air_density_kg_m3,throttle,load,rpm,air_mass_flow_kg_s,fuel_flow_kg_s,torque_Nm,power_W,cht_C,egt_C,oil_temperature_C,oil_pressure_bar,vibration_rms,health_index,degradation,rul_hours
0.0,ENG_0042,0.0,40.0,101.325,1.127214703641126,0.75,0.7560036095664516,6110.244824056731,0.015097086096085784,0.0011400616623005737,20.894323830199824,13390.85666632311,150.05087907698754,635.8681361114845,99.98730943043381,0.1744086821727926,0.4719671146544817,0.9999999998397148,1.602851958544254e-10,9.740277777777777
1.0,ENG_0042,0.9920634920634921,39.99355158730157,101.31308264437709,1.1271053355620493,0.75,0.7570948229009941,6125.63620603484,0.09762477898516439,0.007461794735943332,135.12459390099593,86599.31202980928,149.5735563157449,623.9210011761238,99.71126995794445,0.2263535090392182,0.4580272563667455,0.9999999967355255,3.264474443325459e-09,9.74
2.0,ENG_0042,1.9841269841269842,39.98710317460319,101.30116642375945,1.1269959756057155,0.75,0.7502650129352411,6126.1127066933705,0.09759596785433354,0.007448709449529484,135.00812159227948,86524.6666857296,149.80524896631184,610.5137809242677,100.16519571262783,0.21096332193092235,0.4649671342054852,0.9999999909229406,9.077059456330687e-09,9.739722222222222
3.0,ENG_0042,2.976190476190476,39.98065476190476,101.28925133806426,1.1268866237717057,0.75,0.7560597796057544,6117.967924918077,0.09760293914713176,0.007449621700560448,135.08281493879758,86572.53652374302,149.62875251374518,600.2563513213632,100.35076994709704,0.19658157627035375,0.4461737978771359,0.999999982514377,1.7485622999631657e-08,9.739444444444445
4.0,ENG_0042,3.9682539682539684,39.97420634920633,101.2773373872089,1.1267772800596023,0.75,0.7468834777984716,6123.716270856017,0.09756725767018204,0.007451188171017005,134.93015650643048,86474.70003937789,149.7190674100114,588.5565050627251,100.05363805492703,0.2065606579018704,0.4718475767008676,0.999999971621187,2.837881296113701e-08,9.739166666666666
5.0,ENG_0042,4.9603174603174605,39.96775793650795,101.26542457111069,1.1266679444689869,0.75,0.7561299688318708,6120.337895347445,0.09758419543219342,0.00745625165757429,135.05765704992245,86556.41321261357,150.38367897485253,575.4546161944353,99.92929866686138,0.18588882037121615,0.4491929773081293,0.9999999582545975,4.174540243219685e-08,9.738888888888889
6.0,ENG_0042,5.952380952380952,39.96130952380952,101.25351288968687,1.1265586169994408,0.75,0.7529966542606306,6115.670844421534,0.0975658893926537,0.007459505596109302,134.9972468977585,86517.69725820448,149.24279361054502,567.0985048830291,100.08058391848185,0.21758666994077835,0.4694445437288949,0.9999999424947811,5.7505218966963146e-08,9.738611111111112
7.0,ENG_0042,6.944444444444444,39.954861111111086,101.24160234285479,1.1264492976505465,0.75,0.7623948252715911,6117.688241036677,0.09758258649059329,0.007466099459191813,135.12499420355996,86599.56857767854,150.0047992427433,556.1497613216006,99.69834349875019,0.17241643141995167,0.4662335561931434,0.9999999243289492,7.56710507475985e-08,9.738333333333333
8.0,ENG_0042,7.936507936507937,39.94841269841271,101.22969293053185,1.1263399864218857,0.75,0.7580303397839895,6117.863736768318,0.09756109357493464,0.007454479496248536,135.0468612461963,86549.49434500773,150.42944600247878,548.5386064566968,100.18192193664554,0.1801422217680005,0.4533303373343352,0.9999999038439881,9.615601190853433e-08,9.738055555555556
9.0,ENG_0042,8.928571428571429,39.94196428571428,101.21778465263523,1.12623068331304,0.75,0.754671521707387,6122.434862403928,0.09754222487791232,0.007444465027572202,134.98327044037705,86508.73995769462,150.13907748870338,541.1161149413222,100.18539827330405,0.2199615532691836,0.4572988627658093,0.9999998810660651,1.1893393493938946e-07,9.737777777777778
